"cell","window","pct.rank","Rank"
"25736","hum_12_1",0.796050382115384,0.00232102512381971
"25738","hum_12_1",0.66090026152128,0.00122632749844342
"25739","hum_12_1",0.626859373027024,0.00104713498149067
"26067","hum_12_1",0.818570781697458,0.00265225535258651
"26068","hum_12_1",0.682952448719757,0.00135269900783896
"26069","hum_12_1",0.615844060633985,0.000995452282950282
"26070","hum_12_1",0.660684637397255,0.00122513331007212
"26071","hum_12_1",0.67440141202986,0.00130232993979007
"26399","hum_12_1",0.597229538041389,0.000910580216441303
"26400","hum_12_1",0.670258348503955,0.0012770239263773
"26401","hum_12_1",0.636316031037825,0.00109438551589847
"26402","hum_12_1",0.674986677509356,0.00130562752019614
"26731","hum_12_1",0.646410320386814,0.00114728172775358
"26732","hum_12_1",0.776265328563796,0.00209493027068675
"26733","hum_12_1",0.63163082685723,0.0010708759073168
"26734","hum_12_1",0.591986791482958,0.000887637201230973
"27063","hum_12_1",0.709979392493949,0.00152736960444599
"27064","hum_12_1",0.657819916892354,0.00120951840654016
