"results[, 1]","estimate","std.error","statistic","p.value"
"(Intercept)",-39.09,6.23,-6.28,0
"ptr_dbl_imp_BR",-0.23,0.22,-1.03,0.3
"mic_dbl_imp_BR",0,0.06,0.01,0.99
"mol_dbl_imp_BR",-0.14,0.23,-0.62,0.53
"ptr_dbl_imp_BR_2",0.73,0.27,2.76,0.01
"mic_dbl_imp_BR_2",-0.1,0.06,-1.75,0.08
"mol_dbl_imp_BR_2",-0.02,0.28,-0.07,0.95
"ptr_dbl_imp_BR_4",0.18,0.2,0.89,0.37
"mic_dbl_imp_BR_4",-0.03,0.06,-0.51,0.61
"mol_dbl_imp_BR_4",0.37,0.29,1.29,0.2
"ptr_dbl_imp_BR_6",0.52,0.25,2.11,0.04
"mic_dbl_imp_BR_6",0.04,0.06,0.6,0.55
"mol_dbl_imp_BR_6",0.16,0.24,0.64,0.52
"logPop",-0.36,0.17,-2.15,0.03
"lnBm.div",5.26,1.16,4.53,0
"lFrag",-0.42,0.31,-1.36,0.17
