"results[, 1]","estimate","std.error","p.value","2.5 %","97.5 %"
"(Intercept)",-38.16,6.48,0,-50.85,-25.46
"ptr_dbl_imp_BR",-0.3,0.23,0.18,-0.75,0.14
"mic_dbl_imp_BR",0,0.07,0.98,-0.13,0.13
"mol_dbl_imp_BR",-0.17,0.23,0.45,-0.63,0.28
"ptr_dbl_imp_BR_2",0.74,0.27,0.01,0.2,1.28
"mic_dbl_imp_BR_2",-0.11,0.06,0.05,-0.22,0
"mol_dbl_imp_BR_2",-0.05,0.28,0.86,-0.6,0.5
"ptr_dbl_imp_BR_4",0.16,0.21,0.43,-0.24,0.57
"mic_dbl_imp_BR_4",-0.03,0.06,0.64,-0.15,0.09
"mol_dbl_imp_BR_4",0.36,0.3,0.22,-0.22,0.95
"ptr_dbl_imp_BR_6",0.55,0.26,0.03,0.04,1.05
"mic_dbl_imp_BR_6",0.03,0.06,0.64,-0.1,0.16
"mol_dbl_imp_BR_6",0.2,0.25,0.42,-0.29,0.7
"logPop",-0.29,0.17,0.1,-0.63,0.06
"OB_ann_imp",4.76,1.11,0,2.59,6.93
"lnBm.div",5.16,1.22,0,2.77,7.54
"hdl",-11.41,581.85,0.98,-1151.82,1129
"lFrag",-0.41,0.32,0.21,-1.04,0.23
"OB_ann_imp_1",2.4,1.59,0.13,-0.72,5.53
